title,distributor,summary,theaters_count,week_gross,total_gross,sales_ending_week
Weak Layers,Greenwich Entertainment,Three party-loving best friends set out to win a ski-movie competition. An uproarious comedy that takes on the male-dominated ski industry.,12,"$36,030","$103,025",2024-01-11
The Teachers' Lounge,Sony Pictures Classics,"When one of her students is suspected of theft, teacher Carla Nowak decides to get to the bottom of the matter. Caught between her ideals and the school system, the consequences of her actions threaten to break her.",8,"$31,680","$93,311",2024-01-11
Monster,Well Go USA Entertainment,A mother demands answers from her son's teacher when her son begins acting strangely.,15,"$31,430","$396,215",2024-01-11
Driving Madeleine,Cohen Media Group,"Madeleine, leaves small suburban to join a nursing home, on the other side of Paris. Charles, a taxi driver, comes to pick her and in no hurry to reach, she asks him to go through places of the capital, which have counted in her life.",-,"$30,004","$30,004",2024-01-11
Animal,N/A,The hardened son of a powerful industrialist returns home after years abroad and vows to take bloody revenge on those threatening his father's life.,9,"$23,850","$14,990,871",2024-01-11
Salaar,N/A,"The fate of a violently contested kingdom hangs on the fraught bond between two friends-turned-foes in this saga of power, bloodshed and betrayal.",9,"$23,644","$8,917,196",2024-01-11
The Crime Is Mine,Music Box Films,"Paris, France, 1935, and a young actress has just been acquitted of murdering a famous French Producer. However, this is where the story just begins. Is she really innocent?, or has she gotten away with Murder?",19,"$21,144","$59,903",2024-01-11
The Sweet East,Utopia,"A picaresque journey through the cities and woods of the Eastern seaboard of the U.S undertaken by Lillian, a high school senior from South Carolina. She gets her first glimpse of the wider world on a class trip to Washington, D.C.",5,"$18,978","$126,289",2024-01-11
Dream Scenario,A24,An ordinary family man finds his life turned upside down when strangers suddenly start seeing him in their dreams.,16,"$18,382","$5,693,190",2024-01-11
Killers of the Flower Moon,Paramount Pictures,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery.",23,"$17,338","$67,370,116",2024-01-11
Menus-Plaisirs - Les Troisgros,Zipporah Films,A 93-year-old director embeds inside a French restaurant that's held three Michelin stars for more than 50 years.,12,"$14,511","$115,377",2024-01-11
Radical,Pantelion Films,"A teacher in a Mexican border town full of neglect, corruption, and violence, tries a radical new method to unlock their students' curiosity, potential - and maybe even their genius.",16,"$13,335","$8,686,102",2024-01-11
The Shift,Angel Studios,"After meeting a mysterious stranger, a man must escape a dystopian world to return to his wife.",30,"$12,494","$12,105,173",2024-01-11
Common Ground,Area 23a,The solution of Regenerative farmers to bring soil health across the continent and beyond.,4,"$11,778","$259,228",2024-01-11
Past Lives,A24,"Nora and Hae Sung, two deeply connected childhood friends, are wrested apart after Nora's family emigrates from South Korea. Twenty years later, they are reunited for one fateful week as they confront notions of love and destiny.",5,"$9,922","$11,048,893",2024-01-11
Priscilla,A24,"When teenage Priscilla Beaulieu meets Elvis Presley, the man who is already a meteoric rock-and-roll superstar becomes someone entirely unexpected in private moments: a thrilling crush, an ally in loneliness, a vulnerable best friend.",8,"$9,874","$20,940,191",2024-01-11
Household Saints2024 Re-release,Kino Lorber,Unsettling drama about three generations of Italian-American women struggling to get by in post-World War II New York's Little Italy.,1,"$9,093","$11,323",2024-01-11
Inshallah a Boy,Greenwich Entertainment,A widow pretends to be pregnant with a son in order to save her daughter and home from a relative exploiting Jordan's patriarchal inheritance laws.,1,"$9,068","$9,068",2024-01-11
Stop Making Sense2023  Re-release,-,A live performance of the band Talking Heads shot over the course of three nights at Hollywood's Pantages Theater in December of 1983 and featuring their most memorable songs.,6,"$5,405","$5,122,676",2024-01-11
The Oath,Freestyle Releasing,"400 A.D., in a forgotten time of Ancient America, a lone Hebraic fugitive must preserve the history of his fallen nation while being hunted by a ruthless tyrant. But rescuing the King's abused mistress could awaken a warrior's past.",8,"$3,351","$485,805",2024-01-11
Peeping Tom2023 Re-release,N/A,"A young man murders women, using a movie camera to film their dying expressions of terror.",6,"$3,313","$31,492",2024-01-11
Barbie,Warner Bros.,"Barbie and Ken are having the time of their lives in the seemingly perfect world of Barbie Land. However, when they get a chance to go to the outside world, they soon discover the joys and perils of living among regular humans.",26,"$3,284","$636,236,401",2024-01-11
Four Daughters,Kino Lorber,"Between light and darkness stands Olfa, a Tunisian woman and the mother of four daughters. One day, her two older daughters disappear. Filmmaker Kaouther Ben Hania invites professional actresses to fill in their absence.",7,"$2,575","$51,508",2024-01-11
Make Me Famous,Red Splat Productions,"A madcap romp through the 1980's NYC art scene amid the colorful career of painter, Edward Brezinski, hell-bent on making it. Filmed in NYC, Detroit, San Francisco, Ireland, Berlin and the Cote d'Azur.",2,"$2,205","$40,912",2024-01-11
La Syndicaliste,Kino Lorber,A thriller investigation set in the world of nuclear power and politics.,1,"$1,776","$29,498",2024-01-11
Smoke Sauna Sisterhood,Greenwich Entertainment,"In the darkness of a smoke sauna, women share their innermost secrets and intimate experiences, washing off the shame trapped in their bodies and regaining their strength through a sense of communion.",3,"$1,360","$21,199",2024-01-11
Thanksgiving,TriStar Pictures,"After a Black Friday riot ends in tragedy, a mysterious Thanksgiving-inspired killer terrorizes Plymouth, Massachusetts, the birthplace of the infamous holiday.",7,"$1,230","$31,823,381",2024-01-11
Immediate Family,Magnolia Pictures,Documentary follows the work and lives of legendary 1970s session musicians who were featured on some of the most iconic recordings of the era.,2,$742,"$66,379",2024-01-11
Godard Cinema,Kino Lorber,"Jean-Luc Godard is cinema, its quintessence. Having just turned 91, he has made more than 140 films. We hate him as much as we worship him. Where does his aura come from? From legendary films of course, but also from Godard himself.",2,$529,"$22,213",2024-01-11
